SKU,Description,Supplier,Vendor,LeadTime,MOQ,MinimumOrder,PurchasePrice,CostPrice,PaymentTerms,CountryOfOrigin,Currency,ActiveSupplier
SKU-1000,Wireless Earbuds,Zhen Yue Manufacturing,Euro Wholesale GmbH,60,200,250,24.14,24.14,Net 90,Vietnam,USD,False
SKU-1001,Smart Speaker,Meridian Supply Group,Prime Source UK,21,50,25,12.89,12.89,2/10 Net 30,Netherlands,EUR,False
SKU-1002,USB-C Hub,Coastal Imports Co,Horizon Trade Ltd,45,20,150,38.66,38.66,Net 45,Netherlands,GBP,False
SKU-1003,Portable Charger,Coastal Imports Co,Pacific Imports BV,10,150,200,34.19,34.19,Net 30,Turkey,GBP,False
SKU-1004,LED Desk Lamp,Meridian Supply Group,Meridian Supply Group,45,50,100,16.63,16.63,Net 45,Poland,GBP,True
SKU-1005,Mechanical Keyboard,Apex Global Ltd,Coastal Imports Co,7,50,10,12.37,12.37,Net 30,Taiwan,GBP,True
SKU-1006,Gaming Mouse,Prime Source UK,Pacific Imports BV,35,200,25,3.16,3.16,Net 90,Taiwan,USD,True
SKU-1007,Webcam HD,Horizon Trade Ltd,Atlas Distributors,45,150,200,32.42,32.42,Net 30,India,USD,True
SKU-1008,HDMI Cable 2m,Meridian Supply Group,Euro Wholesale GmbH,10,10,100,12.95,12.95,Prepaid,Turkey,GBP,False
SKU-1009,Screen Protector,Euro Wholesale GmbH,Sunrise Trading Co,10,10,200,29.7,29.7,Net 60,Netherlands,GBP,True
SKU-1010,Phone Stand,FastShip Direct,Pacific Imports BV,45,10,50,42.44,42.44,Prepaid,China,EUR,False
SKU-1011,Cable Organiser,Atlas Distributors,Sunrise Trading Co,60,10,25,14.86,14.86,Prepaid,Bangladesh,EUR,True
SKU-1012,Bluetooth Adapter,Atlas Distributors,FastShip Direct,28,50,25,42.0,42.0,Net 90,China,USD,True
SKU-1013,Smart Plug,Coastal Imports Co,Coastal Imports Co,60,10,100,5.38,5.38,Prepaid,Bangladesh,EUR,True
SKU-1014,Power Strip 4-Port,Nordic Goods AS,Prime Source UK,7,100,20,42.65,42.65,Net 30,Germany,EUR,True
SKU-1015,Monitor Arm,Euro Wholesale GmbH,Euro Wholesale GmbH,45,200,150,43.1,43.1,Net 60,United Kingdom,EUR,True
SKU-1016,SD Card 128GB,Zhen Yue Manufacturing,Apex Global Ltd,21,200,20,32.67,32.67,Net 60,Poland,USD,True
SKU-1017,Laptop Stand,FastShip Direct,Horizon Trade Ltd,45,100,250,20.02,20.02,Net 45,Poland,USD,False
SKU-1018,Ring Light 10in,Meridian Supply Group,Prime Source UK,35,25,50,42.09,42.09,2/10 Net 30,China,GBP,True
SKU-1019,Surge Protector,Prime Source UK,Apex Global Ltd,35,100,500,42.8,42.8,Net 90,Bangladesh,EUR,True
SKU-1020,Coffee Maker,FastShip Direct,Meridian Supply Group,28,20,500,26.74,26.74,Net 30,Vietnam,USD,True
SKU-1021,Blender Pro,Nordic Goods AS,Pacific Imports BV,60,500,500,11.46,11.46,Net 60,Netherlands,GBP,True
SKU-1022,Air Fryer 5L,Apex Global Ltd,Horizon Trade Ltd,21,500,10,5.3,5.3,Net 30,Bangladesh,EUR,True
SKU-1023,Cutting Board Set,Pacific Imports BV,Horizon Trade Ltd,7,20,50,6.29,6.29,Net 90,Taiwan,EUR,True
