PONumber,PurchaseOrder,SKU,StockCode,Description,Supplier,Vendor,OrderedQty,OrderedQuantity,OrderDate,ExpectedDelivery,DeliveryDate,Status,InTransit,Inbound,TotalValue,Currency
PO-2024-1000,PO-2024-1000,SKU-1005,SKU-1005,Mechanical Keyboard,Apex Global Ltd,Nordic Goods AS,300,300,2024-12-24,2025-01-09,2025-01-09,Awaiting Customs,False,True,3711.0,EUR
PO-2024-1001,PO-2024-1001,SKU-1042,SKU-1042,Desk Organiser,Nordic Goods AS,FastShip Direct,500,500,2024-12-06,2025-01-18,2025-01-18,Pending,False,True,8855.0,GBP
PO-2024-1002,PO-2024-1002,SKU-1124,SKU-1124,Pruning Shears,FastShip Direct,Prime Source UK,1000,1000,2024-12-08,2025-01-02,2025-01-02,Awaiting Customs,False,True,29580.0,GBP
PO-2024-1003,PO-2024-1003,SKU-1114,SKU-1114,Play-Doh 6pk,Atlas Distributors,Coastal Imports Co,750,750,2024-12-22,2025-02-04,2025-02-04,In Transit,True,True,8775.0,USD
PO-2024-1004,PO-2024-1004,SKU-1139,SKU-1139,Weed Killer 1L,Atlas Distributors,Zhen Yue Manufacturing,200,200,2024-12-21,2025-01-12,2025-01-12,Pending,False,True,3098.0,GBP
PO-2024-1005,PO-2024-1005,SKU-1091,SKU-1091,Hair Mask 300ml,Sunrise Trading Co,Zhen Yue Manufacturing,250,250,2024-12-14,2025-02-03,2025-02-03,Pending,False,True,9440.0,GBP
PO-2024-1006,PO-2024-1006,SKU-1037,SKU-1037,Toaster 2-Slice,Apex Global Ltd,Prime Source UK,100,100,2024-12-08,2025-01-02,2025-01-02,Confirmed,False,True,3039.0,GBP
PO-2024-1007,PO-2024-1007,SKU-1069,SKU-1069,Knee Support Pair,Prime Source UK,Atlas Distributors,200,200,2024-12-22,2025-01-02,2025-01-02,Confirmed,False,True,6074.0,USD
PO-2024-1008,PO-2024-1008,SKU-1034,SKU-1034,Spice Rack 12-Jar,Meridian Supply Group,Prime Source UK,500,500,2024-12-07,2025-01-03,2025-01-03,Shipped,True,True,7415.0,USD
PO-2024-1009,PO-2024-1009,SKU-1014,SKU-1014,Power Strip 4-Port,Prime Source UK,Apex Global Ltd,1000,1000,2024-12-27,2025-01-17,2025-01-17,Pending,False,True,42650.0,USD
PO-2024-1010,PO-2024-1010,SKU-1046,SKU-1046,Ruler 30cm,Coastal Imports Co,Horizon Trade Ltd,250,250,2024-12-28,2025-01-25,2025-01-25,Shipped,True,True,9177.5,GBP
PO-2024-1011,PO-2024-1011,SKU-1126,SKU-1126,Seed Starter Kit 72-Cell,Prime Source UK,Zhen Yue Manufacturing,250,250,2024-12-22,2025-01-01,2025-01-01,Confirmed,False,True,1410.0,GBP
PO-2024-1012,PO-2024-1012,SKU-1097,SKU-1097,Toner 200ml,Euro Wholesale GmbH,Zhen Yue Manufacturing,1000,1000,2024-12-21,2025-02-02,2025-02-02,Confirmed,False,True,26330.0,EUR
PO-2024-1013,PO-2024-1013,SKU-1013,SKU-1013,Smart Plug,Sunrise Trading Co,Coastal Imports Co,50,50,2024-12-15,2025-01-18,2025-01-18,Pending,False,True,269.0,EUR
PO-2024-1014,PO-2024-1014,SKU-1004,SKU-1004,LED Desk Lamp,Apex Global Ltd,Meridian Supply Group,500,500,2024-12-09,2025-01-27,2025-01-27,In Transit,True,True,8315.0,GBP
PO-2024-1015,PO-2024-1015,SKU-1123,SKU-1123,Watering Can 8L,FastShip Direct,Pacific Imports BV,750,750,2024-12-15,2025-01-29,2025-01-29,Awaiting Customs,False,True,9427.5,GBP
PO-2024-1016,PO-2024-1016,SKU-1106,SKU-1106,Action Figure 30cm,Euro Wholesale GmbH,Euro Wholesale GmbH,250,250,2024-12-24,2025-01-29,2025-01-29,In Transit,True,True,5530.0,GBP
PO-2024-1017,PO-2024-1017,SKU-1087,SKU-1087,Floss Picks 100pk,Meridian Supply Group,Meridian Supply Group,300,300,2024-12-23,2025-01-16,2025-01-16,Awaiting Customs,False,True,9918.0,EUR
